Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
PrivateBank,AXISBANK,12-11-2025,1207.6600341796875,1218.260009765625,1211.199951171875,1010.5
PrivateBank,AXISBANK,13-11-2025,1204.300048828125,1220.8499755859375,1207.1199951171875,1010.6599731445312
PrivateBank,FEDERALBNK,07-11-2025,230.82000732421875,225.6999969482422,227.7100067138672,149.80999755859375
PrivateBank,FEDERALBNK,10-11-2025,233.55999755859375,225.32000732421875,227.52999877929688,149.88999938964844
PrivateBank,FEDERALBNK,11-11-2025,232.72000122070312,221.3699951171875,226.63999938964844,149.97000122070312
PrivateBank,FEDERALBNK,12-11-2025,231.19000244140625,220.30999755859375,224.9499969482422,150.07000732421875
PrivateBank,FEDERALBNK,13-11-2025,231.27000427246094,220.6699981689453,222.47999572753906,150.1699981689453
PrivateBank,HDFCBANK,07-11-2025,951.469970703125,967.0599975585938,971.9600219726562,770.3900146484375
PrivateBank,HDFCBANK,10-11-2025,952.5599975585938,965.1599731445312,972.0599975585938,770.530029296875
PrivateBank,HDFCBANK,11-11-2025,953.1699829101562,965.6599731445312,959.0,770.6900024414062
PrivateBank,HDFCBANK,12-11-2025,947.3599853515625,963.1099853515625,966.1400146484375,770.760009765625
PrivateBank,HDFCBANK,13-11-2025,933.77001953125,963.9299926757812,950.8599853515625,770.8300170898438
PrivateBank,ICICIBANK,07-11-2025,1362.0,1368.6099853515625,1349.219970703125,1000.27001953125
PrivateBank,ICICIBANK,10-11-2025,1359.9300537109375,1357.22998046875,1360.56005859375,1000.8300170898438
PrivateBank,ICICIBANK,11-11-2025,1353.6099853515625,1342.2900390625,1357.5,1001.4000244140625
PrivateBank,ICICIBANK,12-11-2025,1365.1199951171875,1358.6099853515625,1361.5999755859375,1002.0499877929688
PrivateBank,ICICIBANK,13-11-2025,1345.010009765625,1371.1400146484375,1359.77001953125,1002.6099853515625
PrivateBank,KOTAKBANK,07-11-2025,2090.8701171875,2096.9599609375,2082.110107421875,1773.8199462890625
PrivateBank,KOTAKBANK,10-11-2025,2058.2099609375,2095.669921875,2071.780029296875,1773.8699951171875
PrivateBank,KOTAKBANK,11-11-2025,2066.2900390625,2072.530029296875,2046.8299560546875,1773.7900390625
PrivateBank,KOTAKBANK,12-11-2025,2046.760009765625,2057.0400390625,2047.8599853515625,1773.47998046875
PrivateBank,KOTAKBANK,13-11-2025,2043.3499755859375,2065.909912109375,2055.43994140625,1773.3299560546875
PSUBank,BANKBARODA,07-11-2025,273.70001220703125,273.3699951171875,265.8299865722656,195.22999572753906
